date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:19	2135/2135	---M-Z	200	added ('OK')	application/json	date:Sat,%2006%20Jul%202024%2016:54:19%20GMT	https://azurecreditunion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fazurecreditunion.com%2Fprivacy-policy-2%2F	bank/bank/azurecreditunion.com/wp-json/oembed/1.0/embedcdd4.json	(from https://azurecreditunion.com/privacy-policy-2/)
17:54:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jul%202024%2016:54:19%20GMT	https://azurecreditunion.com/?p=953	bank/bank/azurecreditunion.com/index342f.html	(from https://azurecreditunion.com/privacy-policy-2/)
17:54:22	2295/2295	---M-Z	200	added ('OK')	text/xml	date:Sat,%2006%20Jul%202024%2016:54:20%20GMT	https://azurecreditunion.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fazurecreditunion.com%2Fprivacy-policy-2%2F&format=xml	bank/bank/azurecreditunion.com/wp-json/oembed/1.0/embed69cc	(from https://azurecreditunion.com/privacy-policy-2/)
17:54:23	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jul%202024%2016:54:23%20GMT	https://dashboard.azurecreditunion.com/robots.txt		(from https://azurecreditunion.com/)
17:54:23	4286/4286	---M-Z	200	added ('OK')	image/x-icon	etag:%2210be-65280546-89821bbfc2e5d121;gz%22	https://dashboard.azurecreditunion.com/assets/img/favicon.ico	bank/bank/dashboard.azurecreditunion.com/assets/img/favicon.ico	(from https://dashboard.azurecreditunion.com/login)
17:54:25	912/912	---MC-	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202024%2016:54:25%20GMT	https://fonts.googleapis.com/css?family=Quicksand:400,500,600,700&display=swap	bank/bank/fonts.googleapis.com/cssa1f9.css	(from https://dashboard.azurecreditunion.com/login)
17:54:26	161409/161409	---M-Z	200	added ('OK')	text/css	etag:%2227681-65280547-d610e8b11b6f4a6c;gz%22	https://dashboard.azurecreditunion.com/bootstrap/css/bootstrap.min.css	bank/bank/dashboard.azurecreditunion.com/bootstrap/css/bootstrap.min.css	(from https://dashboard.azurecreditunion.com/login)
17:54:26	334/334	---M-Z	200	added ('OK')	text/css	etag:%2214e-65280546-4ffef26ae18b7a42;gz%22	https://dashboard.azurecreditunion.com/assets/css/plugins.css	bank/bank/dashboard.azurecreditunion.com/assets/css/plugins.css	(from https://dashboard.azurecreditunion.com/login)
17:54:27	7078/7078	---M-Z	200	added ('OK')	text/css	etag:%221ba6-65280546-95af04fca129499b;gz%22	https://dashboard.azurecreditunion.com/assets/css/authentication/form-2.css	bank/bank/dashboard.azurecreditunion.com/assets/css/authentication/form-2.css	(from https://dashboard.azurecreditunion.com/login)
17:54:28	12252/12252	---M-Z	200	added ('OK')	text/css	etag:%222fdc-65280546-a73086e38790a4a4;gz%22	https://dashboard.azurecreditunion.com/assets/css/forms/theme-checkbox-radio.css	bank/bank/dashboard.azurecreditunion.com/assets/css/forms/theme-checkbox-radio.css	(from https://dashboard.azurecreditunion.com/login)
17:54:29	7467/7467	---M-Z	200	added ('OK')	text/css	etag:%221d2b-65280546-971de198c3ed1c11;gz%22	https://dashboard.azurecreditunion.com/assets/css/forms/switches.css	bank/bank/dashboard.azurecreditunion.com/assets/css/forms/switches.css	(from https://dashboard.azurecreditunion.com/login)
17:54:30	1994/1994	---M-Z	200	added ('OK')	text/css	etag:%227ca-65280546-e41367c4e4bed16b;gz%22	https://dashboard.azurecreditunion.com/assets/css/pages/error/style-400.css	bank/bank/dashboard.azurecreditunion.com/assets/css/pages/error/style-400.css	(from https://dashboard.azurecreditunion.com/login)
17:54:31	1569/1569	---M-Z	200	added ('OK')	text/css	etag:%22621-65280546-902d903d534fdc51;gz%22	https://dashboard.azurecreditunion.com/assets/css/scrollspyNav.css	bank/bank/dashboard.azurecreditunion.com/assets/css/scrollspyNav.css	(from https://dashboard.azurecreditunion.com/login)
17:54:32	72256/72256	---M-Z	200	added ('OK')	text/css	etag:%2211a40-65280547-5796ae6219719ee;gz%22	https://dashboard.azurecreditunion.com/plugins/animate/animate.css	bank/bank/dashboard.azurecreditunion.com/plugins/animate/animate.css	(from https://dashboard.azurecreditunion.com/login)
17:54:33	1283/1283	---M-Z	200	added ('OK')	text/css	etag:%22503-65280547-866aaabb9c71fc7a;gz%22	https://dashboard.azurecreditunion.com/plugins/notification/snackbar/snackbar.min.css	bank/bank/dashboard.azurecreditunion.com/plugins/notification/snackbar/snackbar.min.css	(from https://dashboard.azurecreditunion.com/login)
17:54:34	4863/4863	---M-Z	200	added ('OK')	text/css	etag:%2212ff-65280546-c8a6e2a4e9bf8fd7;gz%22	https://dashboard.azurecreditunion.com/assets/css/elements/alert.css	bank/bank/dashboard.azurecreditunion.com/assets/css/elements/alert.css	(from https://dashboard.azurecreditunion.com/login)
17:54:35	3133/3133	---M-Z	200	added ('OK')	application/javascript	etag:%22c3d-65280547-9be0f604d1fc638c;gz%22	https://dashboard.azurecreditunion.com/plugins/sweetalerts/promise-polyfill.js	bank/bank/dashboard.azurecreditunion.com/plugins/sweetalerts/promise-polyfill.js	(from https://dashboard.azurecreditunion.com/login)
17:54:36	26762/26762	---M-Z	200	added ('OK')	text/css	etag:%22688a-65280547-c190b089b47c22ae;gz%22	https://dashboard.azurecreditunion.com/plugins/sweetalerts/sweetalert2.min.css	bank/bank/dashboard.azurecreditunion.com/plugins/sweetalerts/sweetalert2.min.css	(from https://dashboard.azurecreditunion.com/login)
17:54:37	22877/22877	---M-Z	200	added ('OK')	text/css	etag:%22595d-65280547-fb6d1c768d833c62;gz%22	https://dashboard.azurecreditunion.com/plugins/sweetalerts/sweetalert.css	bank/bank/dashboard.azurecreditunion.com/plugins/sweetalerts/sweetalert.css	(from https://dashboard.azurecreditunion.com/login)
17:54:38	93/93	---M--	200	added ('OK')	text/css	etag:%225d-65280546-7b7c363fbfaddd17;;;%22	https://dashboard.azurecreditunion.com/assets/css/components/custom-sweetalert.css	bank/bank/dashboard.azurecreditunion.com/assets/css/components/custom-sweetalert.css	(from https://dashboard.azurecreditunion.com/login)
17:54:39	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:%22152b5-65280547-ea2dfd1f3c053309;gz%22	https://dashboard.azurecreditunion.com/assets/js/libs/jquery-3.1.1.min.js	bank/bank/dashboard.azurecreditunion.com/assets/js/libs/jquery-3.1.1.min.js	(from https://dashboard.azurecreditunion.com/login)
17:54:40	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jul%202024%2016:54:40%20GMT	https://dashboard.azurecreditunion.com/signup	bank/bank/dashboard.azurecreditunion.com/signup	(from https://dashboard.azurecreditunion.com/login)
17:54:41	18994/18994	---M-Z	200	added ('OK')	application/javascript	etag:%224a32-65280547-7171fad26f608569;gz%22	https://dashboard.azurecreditunion.com/bootstrap/js/popper.min.js	bank/bank/dashboard.azurecreditunion.com/bootstrap/js/popper.min.js	(from https://dashboard.azurecreditunion.com/login)
17:54:42	63467/63467	---M-Z	200	added ('OK')	application/javascript	etag:%22f7eb-65280547-ae1e2059eac7ae44;gz%22	https://dashboard.azurecreditunion.com/bootstrap/js/bootstrap.min.js	bank/bank/dashboard.azurecreditunion.com/bootstrap/js/bootstrap.min.js	(from https://dashboard.azurecreditunion.com/login)
17:54:43	18291/18291	---M-Z	200	added ('OK')	application/javascript	etag:%224773-65280547-1a4fac34d293f64e;gz%22	https://dashboard.azurecreditunion.com/plugins/perfect-scrollbar/perfect-scrollbar.min.js	bank/bank/dashboard.azurecreditunion.com/plugins/perfect-scrollbar/perfect-scrollbar.min.js	(from https://dashboard.azurecreditunion.com/login)
17:54:44	17978/17978	---M-Z	200	added ('OK')	application/javascript	etag:%22463a-65280547-376f4306453d48e8;gz%22	https://dashboard.azurecreditunion.com/assets/js/app.js	bank/bank/dashboard.azurecreditunion.com/assets/js/app.js	(from https://dashboard.azurecreditunion.com/login)
17:54:46	583/583	---M-Z	200	added ('OK')	application/javascript	etag:%22247-65280547-3f7b99894c7ce31c;gz%22	https://dashboard.azurecreditunion.com/assets/js/authentication/form-2.js	bank/bank/dashboard.azurecreditunion.com/assets/js/authentication/form-2.js	(from https://dashboard.azurecreditunion.com/login)
17:54:48	17197/17197	---M-Z	200	added ('OK')	application/javascript	etag:%22432d-65280547-12beba5b97dfe4b5;gz%22	https://dashboard.azurecreditunion.com/plugins/highlight/highlight.pack.js	bank/bank/dashboard.azurecreditunion.com/plugins/highlight/highlight.pack.js	(from https://dashboard.azurecreditunion.com/login)
17:54:48	3618/3618	---M-Z	200	added ('OK')	application/javascript	etag:%22e22-65280547-9b14d52112a24d67;gz%22	https://dashboard.azurecreditunion.com/assets/js/custom.js	bank/bank/dashboard.azurecreditunion.com/assets/js/custom.js	(from https://dashboard.azurecreditunion.com/login)
17:54:49	3120/3120	---M-Z	200	added ('OK')	application/javascript	etag:%22c30-65280547-7d767130eba17ec4;gz%22	https://dashboard.azurecreditunion.com/plugins/notification/snackbar/snackbar.min.js	bank/bank/dashboard.azurecreditunion.com/plugins/notification/snackbar/snackbar.min.js	(from https://dashboard.azurecreditunion.com/login)
17:54:51	3108/3108	---M-Z	200	added ('OK')	application/javascript	etag:%22c24-65280547-e50bb6beb5ed41ef;gz%22	https://dashboard.azurecreditunion.com/assets/js/components/notification/custom-snackbar.js	bank/bank/dashboard.azurecreditunion.com/assets/js/components/notification/custom-snackbar.js	(from https://dashboard.azurecreditunion.com/login)
17:54:51	656/656	---M-Z	200	added ('OK')	application/javascript	etag:%22290-65280547-35892c0891c488c0;gz%22	https://dashboard.azurecreditunion.com/assets/js/scrollspyNav.js	bank/bank/dashboard.azurecreditunion.com/assets/js/scrollspyNav.js	(from https://dashboard.azurecreditunion.com/login)
